,pct,trimethoprim_percent
0,00C,69.89971795675338
1,00D,67.89307411907654
2,00J,69.56606596838202
3,00K,67.90047924951566
4,00L,62.5690418587666
5,00M,68.41305626347774
6,00N,66.42261353104728
7,00P,71.0950689875997
8,00Q,70.5762059424997
9,00R,63.90157517009973
10,00T,63.02005635670479
11,00V,61.527012948355406
12,00W,67.47967479674797
13,00X,75.99412700354827
14,00Y,62.694864048338374
15,01A,63.41769957527954
16,01C,64.27575954659481
17,01D,63.59501819199552
18,01E,82.4260042283298
19,01F,68.8850174216028
20,01G,49.555927403784274
21,01H,71.91160547297962
22,01J,67.82386072708654
23,01K,62.633379282176946
24,01N,56.75675675675676
25,01R,62.77223473876193
26,01T,64.3765903307888
27,01V,67.17404865876482
28,01W,66.71442215854823
29,01X,65.37417018708508
30,01Y,58.73441108545035
31,02A,67.00231687756192
32,02D,53.13459801264679
33,02E,65.43630338733432
34,02F,71.82435964453737
35,02G,64.25722831505483
36,02H,50.3827985013846
37,02M,70.3150730047206
38,02N,59.04669260700389
39,02P,43.22896023252741
40,02Q,58.2441113490364
41,02R,63.067711629265446
42,02T,61.681187479832204
43,02V,63.46137959520859
44,02W,62.5230882896195
45,02X,67.9024116657319
46,02Y,68.83006461852398
47,03A,64.93374902572097
48,03C,58.58763380731746
49,03D,68.87798896382587
50,03E,62.51005631536605
51,03F,73.7846852600951
52,03G,62.23383909218412
53,03H,72.23524997655004
54,03J,67.23044397463002
55,03K,71.40615570307786
56,03L,44.880594880594884
57,03M,66.62256912289986
58,03N,73.1325257109395
59,03Q,66.63520790540164
60,03R,64.65151247125421
61,03T,67.22418581166372
62,03V,65.44256120527307
63,03W,66.67815130186543
64,03X,58.89200258676439
65,03Y,65.47845142439736
66,04C,73.00789662598707
67,04D,63.60987578592241
68,04E,63.94074853186081
69,04F,60.0711743772242
70,04G,63.76657824933687
71,04H,62.9757785467128
72,04J,61.98294916324597
73,04K,64.20450896011305
74,04L,66.5788433671453
75,04M,60.31375874496502
76,04N,65.79426867649495
77,04Q,65.1985274783066
78,04R,60.54128738621587
79,04V,68.0404645934807
80,04X,53.53629976580796
81,04Y,71.46190642865477
82,05A,63.52679104180755
83,05C,42.16519468977393
84,05D,69.050568757743
85,05F,64.71615720524018
86,05G,70.74958440380837
87,05H,64.9057654813852
88,05J,66.98637865720964
89,05L,60.98337312057629
90,05N,68.86132315521628
91,05P,60.15299026425591
92,05Q,66.52296598212885
93,05R,60.21637984191939
94,05T,63.92857142857142
95,05V,67.4738994726079
96,05W,70.44328718404674
97,05X,71.7565074810412
98,05Y,65.60912981455064
99,06A,68.71698637753684
100,06D,66.7733595962083
101,06F,39.498927429473426
102,06H,64.66495418781982
103,06K,57.93918440218777
104,06L,70.5644393679802
105,06M,68.07574832009774
106,06N,59.52828526111731
107,06P,47.410429230223485
108,06Q,66.54033567948024
109,06T,63.6905311778291
110,06V,68.43460764587526
111,06W,71.66694616803623
112,06Y,68.16876903001305
113,07G,71.45541082164328
114,07H,61.98858516070892
115,07J,62.64038231780167
116,07K,68.75233052427474
117,07L,70.79407806191116
118,07M,57.16192170818505
119,07N,66.18786313750807
120,07P,59.037558685446015
121,07Q,66.11668426610349
122,07R,55.741399762752074
123,07T,53.80063124671226
124,07V,68.27191785273283
125,07W,56.61698835410049
126,07X,63.183117538254585
127,07Y,63.43975283213182
128,08A,63.08529945553539
129,08C,56.294809291654715
130,08D,60.30057803468208
131,08E,58.791961635076504
132,08F,69.05223880597015
133,08G,27.457658321060386
134,08H,56.678567031884775
135,08J,66.80156823068167
136,08K,67.78968398111151
137,08L,35.22403522403522
138,08M,67.71825396825398
139,08N,70.03657507268125
140,08P,62.259850211657444
141,08Q,68.63947182268333
142,08R,66.10812933630056
143,08T,65.97824892892453
144,08V,63.86973586506842
145,08W,67.89312308366185
146,08X,64.79928344597346
147,08Y,53.58041032428855
148,09A,48.8123872519543
149,09C,59.578544061302686
150,09D,61.029861914155504
151,09E,70.13824224625743
152,09F,66.4590599568178
153,09G,65.25444363282202
154,09H,62.530413625304135
155,09J,60.08205982041981
156,09L,62.86122012129861
157,09N,61.287137599856386
158,09P,58.76085887559417
159,09W,60.23779065392429
160,09X,57.26349833797503
161,09Y,52.510009239297815
162,10A,59.63310299440605
163,10C,61.194942903752036
164,10D,69.62398197885982
165,10E,69.31245022564376
166,10G,65.44117647058823
167,10H,58.995244359000296
168,10J,55.76703153079562
169,10K,66.4073609368465
170,10L,71.48542666510593
171,10M,53.41815097540288
172,10N,49.19806042521447
173,10Q,52.25995225995226
174,10R,72.75084262380088
175,10T,64.31233362910382
176,10V,64.44851769206248
177,10W,58.57461024498887
178,10X,64.56090399501736
179,10Y,57.776778352447344
180,11A,65.05259852410111
181,11C,68.67040244523687
182,11D,49.96722171233775
183,11E,55.14125213710006
184,11H,62.44026760114686
185,11J,68.36271086618149
186,11M,65.59722222222221
187,11N,70.34325325018791
188,11T,62.56558590071304
189,11X,62.90534150880083
190,12A,67.95218443147859
191,12D,55.196674128557724
192,12F,75.50242731116563
193,13P,58.86358597535869
194,13T,66.62558106775603
195,14L,64.17625163475404
196,99A,70.77993409007689
197,99C,64.32619212163097
198,99D,56.63453111305871
199,99E,71.94897131479979
200,99F,72.69613259668508
201,99G,74.7630710254499
202,99H,62.26593531303196
203,99J,62.43204577968526
204,99K,59.72777460498763
205,99M,55.80236486486486
206,99N,55.10834956258308
207,99P,71.76397674037077
208,99Q,66.50057273768614
